publisher,name,ratings,price,author,edition_year
人民文学出版社,傲慢与偏见,8.8,13.00元,[英] 奥斯丁,1993-7
武汉大学出版社,天才在左 疯子在右,8.3,29.80元,高铭,2010-2
重庆出版社,三体Ⅱ,9.2,32.00,刘慈欣,2008-5
中国友谊出版公司,明朝那些事儿（壹）,8.8,24.80,当年明月,2006-9
重庆出版社,三体Ⅲ,9.2,38.00元,刘慈欣,2010-11
人民文学出版社,哈利·波特与阿兹卡班的囚徒,8.9,26.50元,[英] J. K. 罗琳,2000-9
人民文学出版社,哈利·波特与密室,8.8,22.00元,[英] J. K. 罗琳,2000-9
上海译文出版社,情人,8.1,20.00元,[法] 玛格丽特·杜拉斯,2005-7
春风文艺出版社,幻城,7.1,28.00元,郭敬明,2003-1
生活·读书·新知三联书店,目送,8.7,39.00元,龙应台,2009-10
朝华出版社,致我们终将逝去的青春,7.9,25.00元,辛夷坞,2007-8
书海出版社,独唱团（第一辑）,7.8,16.00元,韩寒 主编,2010-7-6
作家出版社,莲花,8.0,25.00元,安妮宝贝,2006-3
南海出版公司,1Q84 BOOK 1,8.3,36.00元,[日] 村上春树,2010-5
生活·读书·新知三联书店,万历十五年,8.9,18.00元,[美] 黄仁宇,1997-5
长江文艺出版社,狼图腾,8.3,32.00元,姜戎,2004-4
江苏文艺出版社,微微一笑很倾城,8.1,25.00,顾漫,2009-8
人民文学出版社,哈利·波特与火焰杯,8.9,39.80元,[英] J. K. 罗琳,2001-5
生活·读书·新知三联书店,向左走·向右走,8.4,16.00元,幾米,2002-8
生活·读书·新知三联书店,我们仨,8.6,18.80元,杨绛,2003-7
北岳文艺出版社,边城,8.6,12.00元,沈从文,2002-4
长江文艺出版社,悲伤逆流成河,6.3,24.00元,郭敬明,2007-5
中国青年出版社,长安乱,7.4,20.00元,韩寒,2004-8
上海译文出版社,月亮和六便士,8.9,15.00元,[英] 毛姆,2006-8
北京十月文艺出版社,穆斯林的葬礼,8.3,32.00,霍达,1988-12-1
沈阳出版社,三生三世 十里桃花,8.3,26.80,唐七公子,2009-1
上海三联书店,民主的细节,8.6,25.00,刘瑜,2009-6
南海出版公司,霍乱时期的爱情,8.9,39.50元,[哥伦比亚] 加西亚·马尔克斯,2012-9-1
